,label
0,Sunny
1,Sunny
2,Sunny
3,Sunny
4,Sunny
5,Sunny
6,Sunny
7,Sunny
8,Sunny
9,Sunny
10,Sunny
11,Sunny
12,Sunny
13,Sunny
14,Sunny
15,Sunny
16,Sunny
17,Sunny
18,Sunny
19,Sunny
20,Sunny
21,Sunny
22,Sunny
23,Sunny
24,Sunny
25,Sunny
26,Sunny
27,Sunny
28,Sunny
29,Sunny
30,Sunny
31,Sunny
32,Sunny
33,Sunny
34,Sunny
35,Sunny
36,Sunny
37,Sunny
38,Sunny
39,Sunny
40,Sunny
41,Sunny
42,Sunny
43,Sunny
44,Sunny
45,Sunny
46,Sunny
47,Sunny
48,Sunny
49,Sunny
50,Sunny
51,Sunny
52,Sunny
53,Sunny
54,Sunny
55,Sunny
56,Sunny
57,Sunny
58,Sunny
59,Sunny
60,Sunny
61,Sunny
62,Sunny
63,Sunny
64,Sunny
65,Sunny
66,Sunny
67,Sunny
68,Sunny
69,Sunny
70,Sunny
71,Sunny
72,Sunny
73,Sunny
74,Sunny
75,Sunny
76,Sunny
77,Sunny
78,Sunny
79,Sunny
80,Sunny
81,Sunny
82,Sunny
83,Sunny
84,Sunny
85,Sunny
86,Sunny
87,Sunny
88,Sunny
89,Sunny
90,Sunny
91,Sunny
92,Sunny
93,Sunny
94,Sunny
95,Sunny
96,Sunny
97,Sunny
98,Sunny
99,Sunny
100,Sunny
101,Sunny
102,Sunny
103,Sunny
104,Sunny
105,Sunny
106,Sunny
107,Sunny
108,Sunny
109,Sunny
110,Sunny
111,Sunny
112,Sunny
113,Sunny
114,Sunny
115,Sunny
116,Sunny
117,Sunny
118,Sunny
119,Sunny
120,Sunny
121,Sunny
122,Sunny
123,Sunny
124,Sunny
125,Sunny
126,Sunny
127,Sunny
128,Sunny
129,Sunny
130,Sunny
131,Sunny
132,Sunny
133,Sunny
134,Sunny
135,Sunny
136,Sunny
137,Sunny
138,Sunny
139,Sunny
140,Sunny
141,Sunny
142,Sunny
143,Sunny
144,Sunny
145,Sunny
146,Sunny
147,Sunny
148,Sunny
149,Sunny
150,Sunny
151,Sunny
152,Sunny
153,Sunny
154,Sunny
155,Sunny
156,Sunny
157,Sunny
158,Sunny
159,Sunny
160,Sunny
161,Sunny
162,Sunny
163,Sunny
164,Sunny
165,Sunny
166,Sunny
167,Sunny
168,Sunny
169,Sunny
170,Sunny
171,Sunny
172,Sunny
173,Sunny
174,Sunny
175,Sunny
176,Sunny
177,Sunny
178,Sunny
179,Sunny
180,Sunny
181,Sunny
182,Sunny
183,Sunny
184,Sunny
185,Sunny
186,Sunny
187,Sunny
188,Sunny
189,Sunny
190,Sunny
191,Sunny
192,Sunny
193,Sunny
194,Sunny
195,Sunny
196,Sunny
197,Sunny
198,Sunny
199,Sunny
200,Sunny
201,Sunny
202,Sunny
203,Sunny
204,Sunny
205,Sunny
206,Sunny
207,Sunny
208,Sunny
209,Sunny
210,Sunny
211,Sunny
212,Sunny
213,Sunny
214,Sunny
215,Sunny
216,Sunny
217,Sunny
218,Sunny
219,Sunny
220,Sunny
