,label
0,enhanced
1,enhanced
2,sunny
3,sunny
4,sunny
5,sunny
6,sunny
7,sunny
8,sunny
9,cloudy-high
10,cloudy-high
11,cloudy-high
12,cloudy-high
13,cloudy-high
14,cloudy-high
15,cloudy-high
16,cloudy-high
17,cloudy-high
18,cloudy-high
19,cloudy-high
20,cloudy-high
21,cloudy-high
22,cloudy-high
23,cloudy-high
24,cloudy-high
25,cloudy-high
26,cloudy-mid
27,cloudy-mid
28,cloudy-mid
29,cloudy-mid
30,cloudy-mid
31,cloudy-mid
32,cloudy-mid
33,cloudy-mid
34,cloudy-mid
35,cloudy-mid
36,cloudy-mid
37,cloudy-mid
38,cloudy-mid
39,cloudy-mid
40,cloudy-mid
41,cloudy-mid
42,cloudy-mid
43,cloudy-mid
44,cloudy-mid
45,cloudy-mid
46,cloudy-mid
47,cloudy-mid
48,cloudy-mid
49,cloudy-mid
50,cloudy-mid
51,cloudy-mid
52,cloudy-mid
53,cloudy-mid
54,cloudy-mid
55,cloudy-mid
56,cloudy-mid
57,cloudy-mid
58,cloudy-mid
59,cloudy-mid
60,cloudy-mid
61,cloudy-mid
62,cloudy-mid
63,cloudy-mid
64,cloudy-mid
65,cloudy-mid
66,cloudy-mid
67,cloudy-mid
68,cloudy-mid
69,cloudy-mid
70,cloudy-mid
71,cloudy-mid
72,cloudy-mid
73,cloudy-mid
74,cloudy-mid
75,cloudy-mid
76,cloudy-mid
77,cloudy-mid
78,cloudy-mid
79,cloudy-mid
80,cloudy-mid
81,cloudy-mid
82,cloudy-mid
83,cloudy-mid
84,cloudy-mid
85,cloudy-mid
86,cloudy-mid
87,cloudy-mid
88,cloudy-mid
89,cloudy-mid
90,cloudy-mid
91,cloudy-mid
92,cloudy-mid
93,cloudy-mid
94,cloudy-mid
95,cloudy-mid
96,cloudy-mid
97,cloudy-mid
98,cloudy-mid
99,cloudy-mid
100,cloudy-mid
101,cloudy-mid
102,cloudy-mid
103,cloudy-mid
104,cloudy-mid
105,cloudy-mid
106,cloudy-mid
107,cloudy-mid
108,cloudy-mid
109,cloudy-mid
110,cloudy-mid
111,cloudy-mid
112,cloudy-mid
113,cloudy-mid
114,cloudy-low
115,cloudy-low
116,cloudy-low
117,cloudy-low
118,cloudy-low
119,cloudy-low
120,cloudy-mid
121,cloudy-mid
122,cloudy-mid
123,cloudy-mid
124,cloudy-mid
125,cloudy-mid
126,cloudy-mid
127,cloudy-mid
128,cloudy-mid
129,cloudy-mid
130,cloudy-mid
131,cloudy-mid
132,cloudy-mid
133,cloudy-mid
134,cloudy-mid
135,cloudy-mid
136,cloudy-mid
137,cloudy-mid
138,cloudy-mid
139,cloudy-mid
140,cloudy-mid
141,cloudy-mid
142,cloudy-mid
143,cloudy-mid
144,cloudy-mid
145,cloudy-mid
146,cloudy-mid
147,cloudy-mid
148,cloudy-mid
149,cloudy-mid
150,cloudy-mid
151,cloudy-mid
152,cloudy-mid
153,cloudy-mid
154,cloudy-mid
155,cloudy-mid
156,cloudy-mid
157,cloudy-mid
158,cloudy-mid
159,cloudy-mid
160,cloudy-mid
161,cloudy-mid
162,cloudy-low
163,cloudy-mid
164,cloudy-mid
165,cloudy-mid
166,cloudy-low
167,cloudy-mid
168,cloudy-low
169,cloudy-mid
170,cloudy-low
171,cloudy-low
172,cloudy-low
173,cloudy-low
174,cloudy-low
175,cloudy-low
176,cloudy-low
177,cloudy-low
178,cloudy-low
179,cloudy-mid
180,cloudy-mid
181,cloudy-mid
182,cloudy-mid
183,cloudy-mid
184,cloudy-mid
185,cloudy-mid
186,cloudy-mid
187,cloudy-mid
188,cloudy-mid
189,cloudy-mid
190,cloudy-mid
191,cloudy-mid
192,cloudy-mid
193,cloudy-mid
194,cloudy-mid
195,cloudy-mid
196,cloudy-low
197,cloudy-mid
198,cloudy-low
199,cloudy-mid
200,cloudy-mid
201,cloudy-mid
202,cloudy-mid
203,cloudy-mid
204,cloudy-low
205,cloudy-low
206,cloudy-low
207,cloudy-mid
208,cloudy-mid
209,cloudy-mid
210,cloudy-mid
211,cloudy-mid
212,cloudy-low
213,cloudy-low
214,cloudy-low
215,cloudy-low
216,cloudy-low
217,cloudy-low
218,cloudy-low
219,cloudy-low
220,cloudy-low
221,cloudy-low
222,cloudy-low
223,cloudy-low
224,cloudy-low
225,cloudy-low
226,cloudy-low
227,cloudy-low
228,cloudy-low
229,cloudy-low
230,cloudy-low
231,cloudy-low
232,cloudy-low
233,cloudy-low
234,cloudy-low
235,cloudy-low
236,cloudy-low
237,cloudy-low
238,cloudy-low
239,cloudy-low
240,cloudy-low
241,cloudy-low
242,cloudy-low
243,cloudy-low
244,cloudy-low
245,cloudy-mid
246,cloudy-mid
247,cloudy-mid
248,cloudy-mid
249,cloudy-mid
250,cloudy-low
251,cloudy-low
252,cloudy-low
253,cloudy-low
254,cloudy-low
255,cloudy-low
256,cloudy-low
257,cloudy-low
258,cloudy-low
259,cloudy-low
260,cloudy-low
261,cloudy-low
262,cloudy-low
263,cloudy-low
264,cloudy-low
265,cloudy-low
266,cloudy-low
267,cloudy-low
268,cloudy-low
269,cloudy-low
270,cloudy-low
271,cloudy-mid
272,cloudy-low
273,cloudy-low
274,cloudy-low
275,cloudy-low
276,cloudy-low
277,cloudy-low
278,cloudy-mid
279,cloudy-mid
280,cloudy-mid
281,cloudy-mid
282,cloudy-mid
283,cloudy-mid
284,cloudy-mid
285,cloudy-low
286,cloudy-low
287,cloudy-mid
288,cloudy-mid
289,cloudy-mid
290,cloudy-mid
291,cloudy-mid
292,cloudy-mid
293,cloudy-mid
294,cloudy-mid
295,cloudy-mid
296,cloudy-mid
297,cloudy-mid
298,cloudy-mid
299,cloudy-low
300,cloudy-low
301,cloudy-low
302,cloudy-low
303,cloudy-low
304,cloudy-low
305,cloudy-mid
306,cloudy-mid
307,cloudy-low
308,cloudy-low
309,cloudy-low
310,cloudy-low
311,cloudy-low
312,cloudy-low
313,cloudy-low
314,cloudy-low
315,cloudy-low
316,cloudy-low
317,cloudy-low
318,cloudy-low
319,cloudy-low
320,cloudy-low
321,cloudy-low
322,cloudy-low
323,cloudy-low
324,cloudy-mid
325,cloudy-mid
326,cloudy-low
327,cloudy-low
328,cloudy-low
329,cloudy-low
330,cloudy-low
331,cloudy-low
332,cloudy-low
333,cloudy-low
334,cloudy-low
335,cloudy-low
336,cloudy-low
337,cloudy-low
338,cloudy-low
339,cloudy-low
340,cloudy-low
341,cloudy-low
342,cloudy-low
343,cloudy-low
344,cloudy-low
345,cloudy-low
346,cloudy-low
347,cloudy-mid
348,cloudy-low
349,cloudy-low
350,cloudy-low
351,cloudy-low
352,cloudy-mid
353,cloudy-mid
354,cloudy-mid
355,cloudy-mid
356,cloudy-mid
357,cloudy-low
358,cloudy-low
359,cloudy-low
360,cloudy-low
361,cloudy-low
362,cloudy-low
363,cloudy-mid
364,cloudy-mid
365,cloudy-low
366,cloudy-low
367,cloudy-low
368,cloudy-mid
369,cloudy-low
370,cloudy-low
371,cloudy-low
372,cloudy-low
373,cloudy-low
374,cloudy-low
375,cloudy-low
376,cloudy-low
377,cloudy-mid
378,cloudy-mid
379,cloudy-mid
380,cloudy-low
381,cloudy-low
382,cloudy-low
383,cloudy-low
384,cloudy-low
385,cloudy-low
386,cloudy-low
387,cloudy-low
388,cloudy-low
389,cloudy-low
390,cloudy-low
391,cloudy-low
392,cloudy-low
393,cloudy-mid
394,cloudy-low
395,cloudy-mid
396,cloudy-low
397,cloudy-low
398,cloudy-low
399,cloudy-low
400,cloudy-low
401,cloudy-low
402,cloudy-low
403,cloudy-low
404,cloudy-mid
405,cloudy-low
406,cloudy-low
407,cloudy-mid
408,cloudy-low
409,cloudy-low
410,cloudy-low
411,cloudy-low
412,cloudy-low
413,cloudy-low
414,cloudy-low
415,cloudy-low
416,cloudy-low
417,cloudy-mid
418,cloudy-low
419,cloudy-low
420,cloudy-low
421,cloudy-low
422,cloudy-low
423,cloudy-low
424,cloudy-low
425,cloudy-low
426,cloudy-low
427,cloudy-low
428,cloudy-low
429,cloudy-low
430,cloudy-low
431,overcast
432,overcast
433,overcast
434,overcast
435,cloudy-low
436,cloudy-low
437,cloudy-low
438,cloudy-low
439,cloudy-low
440,cloudy-low
441,cloudy-low
442,cloudy-low
443,cloudy-low
444,cloudy-low
445,cloudy-low
446,cloudy-low
447,cloudy-low
448,cloudy-low
449,cloudy-low
450,cloudy-low
451,cloudy-low
452,cloudy-low
453,cloudy-low
454,cloudy-low
455,cloudy-low
456,cloudy-low
457,cloudy-low
458,cloudy-low
459,cloudy-low
460,cloudy-low
461,cloudy-low
462,cloudy-low
463,cloudy-low
464,cloudy-low
465,cloudy-low
466,cloudy-low
467,cloudy-low
468,cloudy-low
469,cloudy-low
470,cloudy-low
471,cloudy-low
472,cloudy-low
473,cloudy-low
474,cloudy-low
475,cloudy-low
476,cloudy-low
477,cloudy-low
478,overcast
479,overcast
480,overcast
481,overcast
482,overcast
483,overcast
484,overcast
485,overcast
486,overcast
487,overcast
488,cloudy-low
489,cloudy-low
490,cloudy-low
491,cloudy-low
492,cloudy-low
493,cloudy-low
494,cloudy-low
495,cloudy-low
496,cloudy-low
497,cloudy-low
498,cloudy-low
499,cloudy-low
500,cloudy-low
501,cloudy-low
502,cloudy-low
503,cloudy-low
504,cloudy-low
505,cloudy-low
506,cloudy-low
507,cloudy-low
508,cloudy-low
509,cloudy-low
510,cloudy-low
511,cloudy-low
512,cloudy-low
513,cloudy-low
514,cloudy-low
515,cloudy-low
516,cloudy-low
517,cloudy-low
518,cloudy-low
519,cloudy-low
520,cloudy-low
521,cloudy-low
522,cloudy-low
523,cloudy-low
524,cloudy-low
525,cloudy-mid
526,cloudy-mid
527,cloudy-mid
528,cloudy-mid
529,cloudy-mid
530,cloudy-mid
531,cloudy-mid
532,cloudy-mid
533,cloudy-high
534,cloudy-high
535,cloudy-high
536,cloudy-high
537,cloudy-high
538,overcast
539,overcast
540,overcast
541,overcast
542,overcast
543,overcast
544,overcast
545,overcast
546,overcast
547,overcast
548,overcast
549,overcast
550,overcast
551,overcast
552,overcast
553,overcast
554,overcast
555,overcast
556,overcast
557,overcast
558,overcast
559,overcast
560,overcast
561,overcast
562,overcast
563,overcast
564,overcast
565,overcast
566,overcast
567,overcast
568,overcast
569,overcast
570,overcast
571,overcast
572,overcast
573,overcast
574,overcast
575,overcast
576,overcast
577,overcast
578,overcast
579,overcast
580,overcast
581,overcast
582,overcast
583,overcast
584,overcast
585,overcast
586,overcast
587,overcast
588,overcast
589,overcast
590,overcast
591,overcast
592,overcast
593,overcast
594,overcast
595,overcast
596,overcast
597,overcast
598,enhanced
599,enhanced
600,enhanced
601,enhanced
602,enhanced
603,enhanced
604,enhanced
605,enhanced
606,enhanced
607,enhanced
608,enhanced
609,enhanced
610,enhanced
611,enhanced
612,enhanced
613,enhanced
614,enhanced
615,enhanced
616,enhanced
617,enhanced
618,enhanced
619,enhanced
620,enhanced
621,enhanced
622,enhanced
623,enhanced
624,enhanced
625,enhanced
626,enhanced
627,enhanced
628,enhanced
629,enhanced
630,enhanced
631,enhanced
