,label
0,sunny
1,sunny
2,sunny
3,sunny
4,sunny
5,sunny
6,sunny
7,sunny
8,sunny
9,cloudy
10,cloudy
11,cloudy
12,cloudy
13,cloudy
14,cloudy
15,cloudy
16,cloudy
17,cloudy
18,cloudy
19,cloudy
20,cloudy
21,cloudy
22,cloudy
23,cloudy
24,cloudy
25,cloudy
26,cloudy
27,cloudy
28,cloudy
29,cloudy
30,cloudy
31,cloudy
32,cloudy
33,cloudy
34,cloudy
35,cloudy
36,cloudy
37,cloudy
38,cloudy
39,cloudy
40,cloudy
41,cloudy
42,cloudy
43,cloudy
44,cloudy
45,cloudy
46,cloudy
47,cloudy
48,cloudy
49,cloudy
50,cloudy
51,cloudy
52,cloudy
53,cloudy
54,cloudy
55,cloudy
56,cloudy
57,cloudy
58,cloudy
59,cloudy
60,cloudy
61,cloudy
62,cloudy
63,cloudy
64,cloudy
65,cloudy
66,cloudy
67,cloudy
68,cloudy
69,cloudy
70,cloudy
71,cloudy
72,cloudy
73,cloudy
74,cloudy
75,cloudy
76,cloudy
77,cloudy
78,cloudy
79,cloudy
80,cloudy
81,cloudy
82,cloudy
83,cloudy
84,cloudy
85,cloudy
86,cloudy
87,cloudy
88,cloudy
89,cloudy
90,cloudy
91,cloudy
92,cloudy
93,cloudy
94,cloudy
95,cloudy
96,cloudy
97,cloudy
98,cloudy
99,cloudy
100,cloudy
101,cloudy
102,cloudy
103,cloudy
104,cloudy
105,cloudy
106,cloudy
107,cloudy
108,cloudy
109,cloudy
110,cloudy
111,cloudy
112,cloudy
113,cloudy
114,cloudy
115,cloudy
116,cloudy
117,cloudy
118,cloudy
119,cloudy
120,cloudy
121,cloudy
122,cloudy
123,cloudy
124,cloudy
125,cloudy
126,cloudy
127,cloudy
128,cloudy
129,cloudy
130,cloudy
131,cloudy
132,cloudy
133,cloudy
134,cloudy
135,cloudy
136,cloudy
137,cloudy
138,cloudy
139,cloudy
140,cloudy
141,cloudy
142,cloudy
143,cloudy
144,cloudy
145,cloudy
146,cloudy
147,cloudy
148,cloudy
149,cloudy
150,cloudy
151,cloudy
152,cloudy
153,cloudy
154,cloudy
155,cloudy
156,cloudy
157,cloudy
158,cloudy
159,cloudy
160,cloudy
161,cloudy
162,cloudy
163,cloudy
164,cloudy
165,cloudy
166,cloudy
167,cloudy
168,cloudy
169,cloudy
170,cloudy
171,cloudy
172,cloudy
173,cloudy
174,cloudy
175,cloudy
176,cloudy
177,cloudy
178,cloudy
179,cloudy
180,cloudy
181,cloudy
182,cloudy
183,cloudy
184,cloudy
185,cloudy
186,cloudy
187,cloudy
188,cloudy
189,cloudy
190,cloudy
191,cloudy
192,cloudy
193,cloudy
194,cloudy
195,cloudy
196,cloudy
197,cloudy
198,cloudy
199,cloudy
200,cloudy
201,cloudy
202,cloudy
203,cloudy
204,cloudy
205,cloudy
206,cloudy
207,cloudy
208,cloudy
209,cloudy
210,cloudy
211,cloudy
212,cloudy
213,cloudy
214,cloudy
215,cloudy
216,cloudy
217,cloudy
218,cloudy
219,cloudy
220,cloudy
221,cloudy
